Codigo do Termo;Termo
1;ANATOMIA PATOLÓGICA E CITOPATOLOGIA
2;ANESTESIAS
3;DIAGNÓSTICO POR IMAGEM - OUTROS
4;DIAGNÓSTICO POR IMAGEM - RX
5;ENDOSCOPIA DIAGNÓSTICA
6;ENDOSCOPIA INTERVENCIONISTA
7;EXAMES RADIOLÓGICOS EM ODONTOLOGIA
8;GENÉTICA
9;MEDICINA LABORATORIAL
10;MEDICINA NUCLEAR
11;MEDICINA TRANSFUCIONAL
12;MÉTODOS INTERVENCIONISTAS / TERAPÊUTICOS POR IMAGEM
13;OUTROS EXAMES E PROCEDIMENTOS
14;PROCEDIMENTOS DE ASSISTÊNCIA SOCIAL
15;PROCEDIMENTOS DE ENFERMAGEM
16;PROCEDIMENTOS DE FONOAUDIOLOGIA
17;PROCEDIMENTOS DE NUTRIÇÃO
18;PROCEDIMENTOS EM FISIOTERAPIA
19;PROCEDIMENTOS EM PSICOTERAPIA
20;PROCEDIMENTOS EM TERAPIA OCUPACIONAL
21;RADIOTERAPIA MEGAVOLTAGEM
22;RADIOTERAPIA OUTRAS TÉCNICAS
23;RESSONÂNCIA MAGNÉTICA DIAGNÓSTICA
24;RESSONÂNCIA MAGNÉTICA INTERVENCIONISTA
25;TOMOGRAFIA COMPUTADORIZADA DIAGNÓSTICA
26;TOMOGRAFIA COMPUTADORIZADA INTERVENCIONISTA
27;ULTRA-SONOGRAFIA DIAGNÓSTICA
28;ULTRA-SONOGRAFIA INTERVENCIONISTA
29;MATERIAIS E OPME
30;MEDICAMENTOS
31;DIÁRIAS, TAXAS E GASES MEDICINAIS
